,Actors,ActorImageUrl,Personality-Traits
0,Aamir Khan,"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
1,Akshay Kumar,"https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY317_CR19,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
2,Ajay Devgn,"https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","['Adventurous and energetic', 'Pioneering and courageous', 'Enthusiastic and confident', 'Dynamic and quick-witted ', 'Selfish and quick-tempered', 'Impulsive and impatient', 'Foolhardy and daredevil ']"
3,Amjad Khan,"https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR110,0,214,317_AL__QL50.jpg","['Determined and forceful ', 'Emotional and intuitive ', 'Powerful and passionate ', 'Exciting and magnetic ', 'Jealous and resentful ', 'Compulsive and obsessive ', 'Secretive and obstinate']"
4,Amitabh Bachchan,"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY317_CR8,0,214,317_AL__QL50.jpg","['Diplomatic and urbane ', 'Romantic and charming ', 'Easygoing and sociable ', 'Idealistic and peaceable ', 'Indecisive and changeable ', 'Gullible and easily influenced', 'Flirtatious and self-indulgent']"
5,Amol Palekar,"https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR31,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
6,Abhay Deol,"https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
7,Akshaye Khanna,"https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Adventurous and energetic', 'Pioneering and courageous', 'Enthusiastic and confident', 'Dynamic and quick-witted ', 'Selfish and quick-tempered', 'Impulsive and impatient', 'Foolhardy and daredevil ']"
8,Arshad Warsi,"https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","['Adventurous and energetic', 'Pioneering and courageous', 'Enthusiastic and confident', 'Dynamic and quick-witted ', 'Selfish and quick-tempered', 'Impulsive and impatient', 'Foolhardy and daredevil ']"
9,Anushka Shetty,"https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","['Determined and forceful ', 'Emotional and intuitive ', 'Powerful and passionate ', 'Exciting and magnetic ', 'Jealous and resentful ', 'Compulsive and obsessive ', 'Secretive and obstinate']"
10,Atul Kulkarni,"https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
11,Asrani,"https://m.media-amazon.com/images/M/MV5BMjEyNDQ4MzUzNF5BMl5BanBnXkFtZTgwNjY3OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
12,Ayushmann Khurrana,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
13,Aruna Irani,"https://m.media-amazon.com/images/M/MV5BYWIzYjZkZTAtNDM0MS00YjBiLWJlMjItZDY1YTJhNjMxNTExXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Generous and warmhearted', 'Creative and enthusiastic', 'Broad-minded and expansive', 'Faithful and loving', 'Pompous and patronizing', 'Bossy and interfering', 'Dogmatic and intolerant ']"
14,Annu Kapoor,"https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
15,Ashish Vidyarthi,"https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY317_CR175,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
16,Adil Hussain,"https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY317_CR25,0,214,317_AL__QL50.jpg",[None]
